"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","EquipmentInstalled_MonitoringType","EquipmentInstalled_InstallationDate","EquipmentInstalled_DecommissionedDate","EquipmentInstalled_PumpType","EquipmentInstalled_DepthtoPumpIntake","EquipmentInstalled_PumpPowerSource","EquipmentInstalled_MeterType","EquipmentInstalled_WaterMeterBulkMeterIndicator","EquipmentInstalled_WaterMeterMaximumMeasurementValue","EquipmentInstalled_RainfallMonitoringEquipmentType","EquipmentInstalled_RainfallOtherEquipmentType","EquipmentInstalled_ElectronicDataLogger","EquipmentInstalled_OtherElectronicDataLoggerType","EquipmentInstalled_MeasurementMethod","EquipmentInstalled_WaterLevelMonitoringEquipmentType"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837","Non Monitoring","1990-07-04","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843","Rainfall Monitoring","1990-07-04","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131","Rainfall Monitoring","1988-08-31","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662",,"","",,,,,,,,,,,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Rainfall Monitoring","1998-09-04","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368",,"","",,,,,,,,,,,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770","Non Monitoring","1988-08-18","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631","Rainfall Monitoring","1988-08-31","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402","Non Monitoring","1900-01-01","","Mono Type Pump",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249","Rainfall Monitoring","1990-07-03","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465","Non Monitoring","1900-01-01","","Positive Displacement",,,,,,,,,,,
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444","Rainfall Monitoring","1990-07-04","",,,,,,,"Electronic Data Logger",,"Thalimedes Data Logger / Bulk Sampler",,,"Electronic Data Logger"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425",,"","",,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429",,"","",,,,,,,,,,,,
