STATION,DATE,TIME,WATER_LEVEL,QUALITY,DATATRANS,COMMENT
A3N0521 ,19980910,12:00,-22.74,26,7,                                                                                                    
A3N0521 ,20000316,12:00,-18.06,26,7,25/11/2010 Bees                                                                                     
A3N0521 ,20110304,15:00,-11.94,26,7,                                                                                                    
A3N0521 ,20110621,15:50,-11.56,26,7,                                                                                                    
A3N0521 ,20110928,14:33,-11.41,26,7,                                                                                                    
A3N0521 ,20120228,14:42,-16,26,7,                                                                                                    
A3N0521 ,20120607,13:08,-17.84,26,7,                                                                                                    
A3N0521 ,20120912,13:42,-19.51,26,7,                                                                                                    
A3N0521 ,20121205,13:44,-20.86,26,7,                                                                                                    
A3N0521 ,20130626,15:22,-22.67,26,7,26/06/2014 Bees                                                                                     
A3N0521 ,20150827,15:37,-24.99,26,7,                                                                                                    
A3N0521 ,20151112,14:27,-25.14,26,7,                                                                                                    
