STATION,DATE,TIME,WATER_LEVEL,QUALITY,DATATRANS,COMMENT
D4N2515 ,20110608,08:00,-22.03,26,7,                                                                                                    
D4N2515 ,20111130,17:48,-23.85,26,7,                                                                                                    
D4N2515 ,20120301,09:40,-23.84,26,7,                                                                                                    
D4N2515 ,20120419,09:12,-24.34,26,7,                                                                                                    
D4N2515 ,20120622,10:00,-25.52,26,7,                                                                                                    
D4N2515 ,20120718,10:57,-25.58,26,7,                                                                                                    
D4N2515 ,20120906,17:18,-25.44,26,7,                                                                                                    
D4N2515 ,20121030,08:00,-25.64,26,7,                                                                                                    
D4N2515 ,20121128,10:18,-22.67,26,7,                                                                                                    
D4N2515 ,20121205,12:01,-26.1,26,7,                                                                                                    
D4N2515 ,20130626,12:40,-27.88,26,7,                                                                                                    
D4N2515 ,20131003,13:50,-28.8,26,7,                                                                                                    
D4N2515 ,20140625,16:49,-23.65,26,7,                                                                                                    
D4N2515 ,20141002,10:14,-27.34,26,7,                                                                                                    
D4N2515 ,20141126,15:42,-27.32,26,7,04/03/2015 No access                                                                                
D4N2515 ,20150624,15:49,-28.19,26,7,                                                                                                    
D4N2515 ,20150827,13:41,-28.65,26,7,                                                                                                    
D4N2515 ,20151112,13:09,-29.24,26,7,30/11/2016 Inaccessible                                                                             
