"Monitoring Point ID","Monitoring Point Name","Latitude","Longitude","Located on Feature Name","Located on Type","Drainage Region Name","Feature Reference Code","Monitoring Active","Sample Start Date","Sample Start Time","Sample End Date","Sample End Time","Time Interval","Sample Start Depth","Sample End Depth","Depth Interval","Preservative","Action Type","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Result","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Detection Limit","ASAR-Diss-Water (ADJUSTED SODIUM ADSORPTION RATIO) (null) Greater Than","CORR-Diss-Water (CORROSIVITY INDEX) (null) Result","CORR-Diss-Water (CORROSIVITY INDEX) (null) Detection Limit","CORR-Diss-Water (CORROSIVITY INDEX) (null) Greater Than","Ca-Diss-Water (CALCIUM) (mg/L) Result","Ca-Diss-Water (CALCIUM) (mg/L) Detection Limit","Ca-Diss-Water (CALCIUM) (mg/L) Greater Than","Cl-Diss-Water (CHLORIDE) (mg/L) Result","Cl-Diss-Water (CHLORIDE) (mg/L) Detection Limit","Cl-Diss-Water (CHLORIDE) (mg/L) Greater Than","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Result","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Detection Limit","DMS-Tot-Water (DISSOLVED MAJOR SALTS) (mg/L) Greater Than","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Result","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Detection Limit","EC-Phys-Water (ELECTRICAL CONDUCTIVITY) (mS/m) Greater Than","F-Diss-Water (FLUORIDE) (mg/L) Result","F-Diss-Water (FLUORIDE) (mg/L) Detection Limit","F-Diss-Water (FLUORIDE) (mg/L) Greater Than","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Result","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Detection Limit","HARD-Mg-Calc-Water (HARDNESS MAGNESIUM CALCULATED) (mg/L) Greater Than","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Result","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Detection Limit","HARD-Tot-Water (HARDNESS AS CACO3 CALCULATED) (mg/L) Greater Than","K-Diss-Water (POTASSIUM) (mg/L) Result","K-Diss-Water (POTASSIUM) (mg/L) Detection Limit","K-Diss-Water (POTASSIUM) (mg/L) Greater Than","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Result","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Detection Limit","KJEL N-Tot-Water (KJELDAHL NITROGEN) (mg/L) Greater Than","LANGL-Index-Water (LANGLIER INDEX) (null) Result","LANGL-Index-Water (LANGLIER INDEX) (null) Detection Limit","LANGL-Index-Water (LANGLIER INDEX) (null) Greater Than","Mg-Diss-Water (MAGNESIUM) (mg/L) Result","Mg-Diss-Water (MAGNESIUM) (mg/L) Detection Limit","Mg-Diss-Water (MAGNESIUM) (mg/L) Greater Than","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Result","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Detection Limit","NH3(25)-Union-Diss-W (AMMONIA UN-IONISED 25 °C) (mg/L) Greater Than","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Result","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Detection Limit","NH4-N-Diss-Water (AMMONIUM NITROGEN) (mg/L) Greater Than","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Result","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Detection Limit","NO3+NO2-N-Diss-Water (NITRATE + NITRITE NITROGEN) (mg/L) Greater Than","Na-Diss-Water (SODIUM) (mg/L) Result","Na-Diss-Water (SODIUM) (mg/L) Detection Limit","Na-Diss-Water (SODIUM) (mg/L) Greater Than","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Result","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Detection Limit","P-Tot-Water (TOTAL PHOSPHORUS) (mg/L) Greater Than","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Result","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Detection Limit","PO4-P-Diss-Water (ORTHO PHOSPHATE AS PHOSPHORUS) (mg/L) Greater Than","RYZNAR-Index-Water (RYZNAR) (null) Result","RYZNAR-Index-Water (RYZNAR) (null) Detection Limit","RYZNAR-Index-Water (RYZNAR) (null) Greater Than","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Result","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Detection Limit","SAR-Diss-Water (SODIUM ADSORPTION RATIO) (null) Greater Than","SO4-Diss-Water (SULPHATE) (mg/L) Result","SO4-Diss-Water (SULPHATE) (mg/L) Detection Limit","SO4-Diss-Water (SULPHATE) (mg/L) Greater Than","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Result","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Detection Limit","SO4Ion/MajAnions-Wat (SULPHATE ION TO MAJOR ANION RATIO) (null) Greater Than","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Result","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Detection Limit","SO4Ion/TotAnions-Wat (SULPHATE ION TO TOTAL ANION RATIO) (null) Greater Than","Si-Diss-Water (SILICON) (mg/L) Result","Si-Diss-Water (SILICON) (mg/L) Detection Limit","Si-Diss-Water (SILICON) (mg/L) Greater Than","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Result","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Detection Limit","TAL-Diss-Water (TOTAL ALKALINITY AS CALCIUM CARBONATE) (mg/L) Greater Than","pH-Diss-Water (PH) (pH units) Result","pH-Diss-Water (PH) (pH units) Detection Limit","pH-Diss-Water (PH) (pH units) Greater Than","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Result","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Detection Limit","pHs-Calc-Water (PH AT SATURATION WITH RESPECT TO CACO3) (null) Greater Than","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Result","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Detection Limit","NO2-N-Diss-Water (NITRITE NITROGEN) (mg/L) Greater Than","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Result","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Detection Limit","N-Tot-Calc-Water (TOTAL NITROGEN CALCULATED) (mg/L) Greater Than"
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","1999-10-25","13:00:00","","","","0","","","HGCL2","Sample","4.208","","","2.34","","","50.686","1","","77.766","10","","567.955","","","79.5","1","","0.185","0.1","","67.767","","","207.021","","","15.852","0.3","","","","","0.101","","","19.535","1","","0.003","","","0.082","0.04","","6.053","0.04","","76.524","2","","","","","1.918","0.005","","7.586","","","2.314","","","153.867","4","","","","","","","","6.226","0.4","","115.446","4","","7.788","2","","7.687","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","1999-11-16","15:30:00","","","","0","","","HGCL2","Sample","0.974","","","0.304","","","27.282","1","","11.498","10","","215.043","","","30.2","1","","0.246","0.1","","31.141","","","105.097","","","2.766","0.3","","","","","-0.007","","","8.977","1","","0.02","","","0.4","0.04","","0.02","0.04","","14.524","2","","","","","0.017","0.005","","7.946","","","0.617","","","16.217","4","","","","","","","","5.637","0.4","","108.982","4","","7.932","2","","7.939","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","1999-12-01","10:00:00","","","","","","","HGCL2","Sample","4.756","","","6.588","","","51.389","1","","200.265","10","","580.858","","","99.4","1","","1.095","0.1","","82.07","","","225.755","","","1.448","0.3","","","","","-0.217","","","23.658","1","","0.002","","","0.052","0.04","","8.772","0.04","","106.756","2","","","","","0.072","0.005","","8.207","","","3.092","","","87.868","4","","","","","","","","22.531","0.4","","56.805","4","","7.773","2","","7.99","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2000-04-17","10:00:00","","","","","","","HGCL2","Sample","2.526","","","0.172","","","84.458","1","","24.134","10","","626.274","","","76.1","1","","0.468","0.1","","80.623","","","306.619","","","7.208","0.3","","","","","1.361","","","23.241","1","","0.003","","","0.02","0.04","","3.002","0.04","","41.436","2","","","","","0.022","0.005","","5.645","","","1.03","","","22.619","4","","","","","","","","20.332","0.4","","335.719","4","","","","","7.006","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2000-04-17","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.06","","","","","","","","","","","","","","","","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2000-04-17","10:00:00","","","","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.367","2","","","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2000-04-17","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.058","","","","","","","","","","","","","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2004-02-20","10:00:00","","","","","","","HGCL2","Sample","","","","","","","47.954","1","","2.5","5","","","","","","","","0.1","0.2","","","","","","","","1.33","0.3","","","","","","","","25.778","1","","","","","0.015","0.03","","0.41","0.11","","4.014","2","","","","","0.034","0.023","","","","","","","","3","6","","","","","","","","6.744","0.6","","214.129","8","","8.175","2","","","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2004-02-20","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","","","","","","","","","","","","","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2004-02-20","10:00:00","","","","","","","HGCL2","Sample","0.251","","","0.031","","","","","","","","","347.693","","","41.4","0.1","","","","","89.424","","","225.91","","","","","","","","","0.753","","","","","","0.001","","","","","","","","","","","","","","","","","","6.668","","","0.116","","","","","","","","","","","","","","","","","","","","","7.422","","","","","","","",""
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2004-02-20","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.014","","","","","","","","","","","","","","","","","","","","","","",""
"84961","2525DB00395 TWEEFONTEIN UPPER (A1G003) - WR70","-25.5454","25.9408","2525DB00395 TWEEFONTEIN UPPER (A1H003) - WR70","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","","","","","HGCL2","Sample","","","","","","","43.243","1","","6.59","4","","","","","","","","0.132","0.1","","","","","","","","0.15","0.3","","","","","","","","23.714","1","","","","","0.091","0.04","","0.902","0.08","","3.91","2","","","","","0.014","0.011","","","","","","","","5.243","4","","","","","","","","5.399","0.8","","204.958","8","","8.348","2","","","","","","","","","",""
"84961","2525DB00395 TWEEFONTEIN UPPER (A1G003) - WR70","-25.5454","25.9408","2525DB00395 TWEEFONTEIN UPPER (A1H003) - WR70","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","0","","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.024","","","","","","","","","","","","","","","","","","","",""
"84961","2525DB00395 TWEEFONTEIN UPPER (A1G003) - WR70","-25.5454","25.9408","2525DB00395 TWEEFONTEIN UPPER (A1H003) - WR70","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","","","","","HGCL2","Sample","0.252","","","0.072","","","","","","","","","337.031","","","39.9","0.1","","","","","82.264","","","205.646","","","","","","","","","0.864","","","","","","0.011","","","","","","","","","","","","","","","","","","6.62","","","0.119","","","","","","","","","","","","","","","","","","","","","7.484","","","","","","","",""
