"Monitoring Point ID","Monitoring Point Name","Latitude","Longitude","Located on Feature Name","Located on Type","Drainage Region Name","Feature Reference Code","Monitoring Active","Sample Start Date","Sample Start Time","Sample End Date","Sample End Time","Time Interval","Sample Start Depth","Sample End Depth","Depth Interval","Preservative","Action Type","Al-Diss-Water (ALUMINIUM) (mg/L) Result","Al-Diss-Water (ALUMINIUM) (mg/L) Detection Limit","Al-Diss-Water (ALUMINIUM) (mg/L) Greater Than","As-Diss-Water (ARSENIC) (mg/L) Result","As-Diss-Water (ARSENIC) (mg/L) Detection Limit","As-Diss-Water (ARSENIC) (mg/L) Greater Than","B-Diss-Water (BORON) (mg/L) Result","B-Diss-Water (BORON) (mg/L) Detection Limit","B-Diss-Water (BORON) (mg/L) Greater Than","Ba-Diss-Water (BARIUM) (mg/L) Result","Ba-Diss-Water (BARIUM) (mg/L) Detection Limit","Ba-Diss-Water (BARIUM) (mg/L) Greater Than","COD (CHEMICAL OXYGEN DEMAND) (mg/L) Result","COD (CHEMICAL OXYGEN DEMAND) (mg/L) Detection Limit","COD (CHEMICAL OXYGEN DEMAND) (mg/L) Greater Than","Cd-Diss-Water (CADMIUM) (mg/L) Result","Cd-Diss-Water (CADMIUM) (mg/L) Detection Limit","Cd-Diss-Water (CADMIUM) (mg/L) Greater Than","Cr-Diss-Water (CHROMIUM) (mg/L) Result","Cr-Diss-Water (CHROMIUM) (mg/L) Detection Limit","Cr-Diss-Water (CHROMIUM) (mg/L) Greater Than","Cu-Diss-Water (COPPER) (mg/L) Result","Cu-Diss-Water (COPPER) (mg/L) Detection Limit","Cu-Diss-Water (COPPER) (mg/L) Greater Than","Fe-Diss-Water (IRON) (mg/L) Result","Fe-Diss-Water (IRON) (mg/L) Detection Limit","Fe-Diss-Water (IRON) (mg/L) Greater Than","Mn-Diss-Water (MANGANESE) (mg/L) Result","Mn-Diss-Water (MANGANESE) (mg/L) Detection Limit","Mn-Diss-Water (MANGANESE) (mg/L) Greater Than","Mo-Diss-Water (MOLYBDENUM) (mg/L) Result","Mo-Diss-Water (MOLYBDENUM) (mg/L) Detection Limit","Mo-Diss-Water (MOLYBDENUM) (mg/L) Greater Than","Ni-Diss-Water (NICKEL) (mg/L) Result","Ni-Diss-Water (NICKEL) (mg/L) Detection Limit","Ni-Diss-Water (NICKEL) (mg/L) Greater Than","Pb-Diss-Water (LEAD) (mg/L) Result","Pb-Diss-Water (LEAD) (mg/L) Detection Limit","Pb-Diss-Water (LEAD) (mg/L) Greater Than","Sr-Diss-Water (STRONTIUM) (mg/L) Result","Sr-Diss-Water (STRONTIUM) (mg/L) Detection Limit","Sr-Diss-Water (STRONTIUM) (mg/L) Greater Than","V-Diss-Water (VANADIUM) (mg/L) Result","V-Diss-Water (VANADIUM) (mg/L) Detection Limit","V-Diss-Water (VANADIUM) (mg/L) Greater Than","Zn-Diss-Water (ZINC) (mg/L) Result","Zn-Diss-Water (ZINC) (mg/L) Detection Limit","Zn-Diss-Water (ZINC) (mg/L) Greater Than","E.COLI-Susp-Water (ESCHERICHIA COLI) (cfu/100mL) Result","E.COLI-Susp-Water (ESCHERICHIA COLI) (cfu/100mL) Detection Limit","E.COLI-Susp-Water (ESCHERICHIA COLI) (cfu/100mL) Greater Than","E.COLI-SuspMPN-Water (ESCHERICHIA COLI BY MPN METHOD) (MPN/100mL) Result","E.COLI-SuspMPN-Water (ESCHERICHIA COLI BY MPN METHOD) (MPN/100mL) Detection Limit","E.COLI-SuspMPN-Water (ESCHERICHIA COLI BY MPN METHOD) (MPN/100mL) Greater Than","Eh-Phys-Water (REDOX POTENTIAL) (mV) Result","Eh-Phys-Water (REDOX POTENTIAL) (mV) Detection Limit","Eh-Phys-Water (REDOX POTENTIAL) (mV) Greater Than","Hydrogen-3-Water (TRITIUM ATOM RATIO WITH RESPECT TO HYDROGEN (3H/1H)) (TU) Result","Hydrogen-3-Water (TRITIUM ATOM RATIO WITH RESPECT TO HYDROGEN (3H/1H)) (TU) Counting Stat","Hydrogen-3-Water (TRITIUM ATOM RATIO WITH RESPECT TO HYDROGEN (3H/1H)) (TU) Greater Than","O-Abs-Water (OXYGEN ABSORBED) (mg/L) Result","O-Abs-Water (OXYGEN ABSORBED) (mg/L) Detection Limit","O-Abs-Water (OXYGEN ABSORBED) (mg/L) Greater Than","O-Diss-Water (OXYGEN DISSOLVED) (mg/L) Result","O-Diss-Water (OXYGEN DISSOLVED) (mg/L) Detection Limit","O-Diss-Water (OXYGEN DISSOLVED) (mg/L) Greater Than","SOLIDS-Susp-Water (TOTAL SUSPENDED SOLIDS) (mg/L) Result","SOLIDS-Susp-Water (TOTAL SUSPENDED SOLIDS) (mg/L) Detection Limit","SOLIDS-Susp-Water (TOTAL SUSPENDED SOLIDS) (mg/L) Greater Than","TC-SuspMPN-Water (TOTAL COLIFORM COUNT BY MPN METHOD) (MPN/100mL) Result","TC-SuspMPN-Water (TOTAL COLIFORM COUNT BY MPN METHOD) (MPN/100mL) Detection Limit","TC-SuspMPN-Water (TOTAL COLIFORM COUNT BY MPN METHOD) (MPN/100mL) Greater Than","TEMP-Phys-Water (TEMPERATURE) (°C) Result","TEMP-Phys-Water (TEMPERATURE) (°C) Detection Limit","TEMP-Phys-Water (TEMPERATURE) (°C) Greater Than"
"84958","A1E001 MOILWAS 900 JO (GOPANE) EVAPORATION STATION @ NGOTWANE DAM","-25.19358056","25.80122222","","","A10B","","No","2000-05-30","08:00:00","","","","","","","NONE","Sample","0.03","0.059","","0.05","0.1","","0.082","0.014","","0.044","0.003","","","","","0.003","0.005","","0.003","0.006","","0.01","0.019","","0.064","0.006","","0.002","0.003","","0.006","0.012","","0.005","0.009","","0.027","0.054","","0.48","0.003","","0.003","0.005","","0.003","0.005","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84961","2525DB00395 TWEEFONTEIN UPPER (A1G003) - WR70","-25.5454","25.9408","2525DB00395 TWEEFONTEIN UPPER (A1H003) - WR70","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","","","","","NONE","Sample","0.01","0.002","","0.002","0.004","","0.009","0.018","","0.011","0.001","","","","","0.001","0.001","","0.001","0.001","","0.002","0.001","","0.006","0.012","","0.003","0.001","","0.009","0.003","","0.006","0.012","","0.002","0.004","","0.016","0.001","","0.001","0.001","","0.003","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84962","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","-25.5441","25.9456","2525DB00394 TWEEFONTEIN LOWER (A1H004) - WR59","Spring/Eye","A10A","","No","2007-11-17","10:00:00","","","","","","","NONE","Sample","0.001","0.002","","0.071","0.004","","0.009","0.018","","0.005","0.001","","","","","0.001","0.001","","0.001","0.001","","0.003","0.001","","0.006","0.012","","0.001","0.001","","0.009","0.003","","0.006","0.012","","0.002","0.004","","0.018","0.001","","0.001","0.001","","0.002","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88621","ZQMBM40 MALMANIELOOP LOWER EYE AT PAARDENVALLEI","-25.633333","25.995833","","","A31D","","No","1994-05-31","14:30:00","","","","0","","","","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","0.1",""
"88621","ZQMBM40 MALMANIELOOP LOWER EYE AT PAARDENVALLEI","-25.633333","25.995833","","","A31D","","No","1994-05-31","14:30:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408","0","","","","","","","","","","","","","","","","","","",""
"88622","ZQMBM41 TWEEFONTEIN LOWER EYE AT TWEEFONTEIN","-25.541667","25.945833","ZQMBM41 LOWER TWEEFONTEIN EYE","Spring/Eye","A10A","","No","1994-05-31","16:00:00","","","","0","","","","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","0.1",""
"88626","ZQMBM45 TWEEFONTEIN UPPER EYE AT TWEEFONTEIN","-25.545833","25.941667","ZQMBM45 UPPER TWEEFONTEIN EYE","Spring/Eye","A10A","","No","1994-05-31","16:30:00","","","","0","","","","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","0.1",""
"88627","ZQMBM46 VERGENOEGD EYE AT VERGENOEGD","-25.604167","25.991667","","","A31D","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1996-07-08","15:30:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38","0.1","","","","","","","","19.3","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1996-11-27","10:25:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1997-06-23","15:30:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1997-10-10","09:00:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1998-05-05","16:28:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1998-06-16","08:10:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1998-09-16","12:00:00","","","","","","","NONE","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.5","0.2","","","","","","","","","","","","","","","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1999-04-08","08:52:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1999-04-08","08:53:00","","","","0","","","NONE","Sample","0.01","0.02","","0.025","0.05","","0.002","0.003","","0.001","0.001","","","","","0.001","0.002","","0.002","0.003","","0.001","0.002","","0.002","0.003","","0.001","0.001","","0.003","0.005","","0.003","0.006","","0.008","0.015","","0.004","0.001","","0.001","0.002","","0.148","0.004","","","","","","","","","","","","","","","","","","","","","","","","","","23.6","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","1999-09-13","12:15:00","","","","0","","","HGCL2","Sample","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24","0.1",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","2002-09-17","08:25:00","","","","","","","NONE","Sample","0.026","0.052","","0.064","0.127","","0.006","0.012","","0.007","0.013","","","","","0.004","0.008","","0.003","0.005","","0.006","0.011","","0.003","0.005","","0.001","0.001","","0.006","0.012","","0.008","0.015","","0.036","0.071","","0.003","0.001","","0.004","0.007","","0.043","0.007","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","2006-10-05","10:00:00","","","","","","","NONE","Sample","0.064","0.002","","0.002","0.004","","0.009","0.018","","0.181","0.001","","","","","0.001","0.001","","0.003","0.001","","0.013","0.001","","0.118","0.012","","0.705","0.001","","0.009","0.003","","0.006","0.012","","0.002","0.004","","0.44","0.001","","0.001","0.001","","0.053","0.001","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","2006-10-05","12:45:00","","","","","","","NOT APPLICABLE","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","2007-05-24","14:50:00","","","","","","","NOT APPLICABLE","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8","",""
"89822","ZQMZRS1 2526CA00989 ZEERUST-LOTTERINGSKRAAL","-25.540833","26.079722","ZQMZRS1 ZEERUST                                                                                     ","Borehole","A31D","","No","2007-08-30","13:15:00","","","","","","","NOT APPLICABLE","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.6","",""
"89892","ZQMBM15 KLAARSTROOM","-25.534722","26.019444","ZQMBM15 KLAARSTROOM                                                                                 ","Borehole","A31D","","No","1994-05-24","12:00:00","","","","0","","","","Observation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2","0.1",""
