"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","GeositeInfo_ReferenceDatum","GeositeInfo_CoordinateMethod","GeositeInfo_Elevation","GeositeInfo_FarmName","GeositeInfo_FarmNumber","GeositeInfo_Town","GeositeInfo_Portion","GeositeInfo_Village","GeositeInfo_GeositeStatus","GeositeInfo_DateWhenStatusWasObserved","GeositeInfo_MapNumber","GeositeInfo_Province","GeositeInfo_RegistrationDistrict","GeositeInfo_QuaternaryDrainageRegion","GeositeInfo_WaterManagementArea","GeositeInfo_MunicipalDistrictNew","GeositeInfo_HydrogeologicalRegion","GeositeInfo_WaterUserAssociation","GeositeInfo_Geomorphology","GeositeInfo_LandCover","GeositeInfo_TasteOfWater","GeositeInfo_IntendedGeositePurpose","GeositeInfo_ObservedActualWaterUses","GeositeInfo_WaterConsumer","GeositeInfo_SiteSelector"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1236","MONTGOMERY'S HOOP","0272 ",,,,"In Use: Unknown","1990-07-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Agriculture",,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1264.48","DE RUST","0273 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1235.2","MONTGOMERY'S HOOP","0272 ",,,,"Unused: Abandoned","1990-07-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh",,,,
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1330","KLAARSTROOM","0237 ",,,,"Unused: Abandoned","1988-08-31","2525DB","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Exploration",,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1256.07","DE RUST","0273 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1423","MOILOS SUID","0036",,,,"In Use: Unknown","1998-08-21","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Monitoring",,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1423","MOILOS SUID","0036",,,,"Unused: Dry - Unknown","2011-03-03","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Monitoring",,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1423","MOILOS SUID","0036",,,,"Unused: Dry - Unknown","2011-03-04","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Monitoring",,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1423","MOILOS SUID","0036",,,,"Unused: Dry - Unknown","2013-06-26","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Monitoring",,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1423","MOILOS SUID","0036",,,,"Unused: Irrepairably Destroyed","2015-08-27","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Monitoring",,,
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1280","DE RUST","0273 ",,,,"In Use: Unknown","1955-01-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Agriculture",,
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1230","DE RUST","0273 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,,,,,"Agriculture",,
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1300","DE RUST","0273 ",,,,"Unused: Abandoned","1986-01-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh",,,,
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1280","DE RUST","0273 ",,,,"Unused: Abandoned","1988-01-01","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh",,,,
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1370","KAREELAAGTE PTN. BOTSALANO GAME RESERVE","0045 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1400","KLIPPAN","0044 ",,,,,"","2525DB","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1420","Klippan","0044 ",,,,"In Use: Monitoring","2018-06-06","2525DB","North West","JO",,,"Mafikeng Local Municipality","Karst Belt",,,,,"Exploration, Monitoring",,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1420","Klippan","0044 ",,,,"In Use: Unknown","2001-03-03","2525DB","North West","JO",,,"Mafikeng Local Municipality","Karst Belt",,,,,"Exploration, Monitoring",,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1420","Klippan","0044 ",,,,"Unused: Abandoned","2001-03-19","2525DB","North West","JO",,,"Mafikeng Local Municipality","Karst Belt",,,,,"Exploration, Monitoring",,,
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1420","TWEEFONTEIN","0058 ",,,,"In Use: Unknown","1956-01-01","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Stock Watering",,
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1320","KLAARSTROOM","0237 ",,,,"In Use: Unknown","1988-01-01","2525DB","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Stock Watering",,
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1320","KLAARSTROOM","0237 ",,,,"Unused: Abandoned","1988-08-31","2525DB","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)",,,
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1210","KAMEELDOORN","0271 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh","Production (Water Supply)","Agriculture",,
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1226.4","MONTGOMERY'S HOOP","0272 ",,,,"Unused: Abandoned","1990-07-03","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,,,,,
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1320","KLAARSTROOM","0237 ",,,,,"","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh","Exploration","Stock Watering",,
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1420","TWEEFONTEIN","0058 ",,,,,"","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,"Flat/Gently Undulating Surface",,"Fresh",,"Stock Watering",,
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1253.68","DE RUST","0273 ",,,,"Unused: Abandoned","1990-07-04","2526CA","North West","JP","A31D","Crocodile (West) and Marico","Zeerust Local Municipality","Western Bankeveld and Marico Bushveld",,"Flat/Gently Undulating Surface",,"Fresh",,,,
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Hartbeeshoek Datum (WGS 84)","Global Positioning System (Hand-held)","1380","KAREELAAGTE PTN. BOTSALANO GAME RESERVE","0045 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1400","KLIPLAAGTE PTN. BOTSALANO GAME RESERVE","0046 ",,,,,"","2525DA","North West","JO","D41A","Crocodile (West) and Marico","Mafikeng Local Municipality","Western Highveld",,,,,,,,
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","Hartbeeshoek Datum (WGS 84)","Estimated 1:50 000 map","1440","MOILWAS PTN. KHUNOTSWANE GRAZING","0900 ",,,,,"","2525DB","North West","JO","A31C","Crocodile (West) and Marico","Zeerust Local Municipality","Karst Belt",,,,,,,,
