"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","DepthDiameter_MeasurementDate","DepthDiameter_DepthToBottom","DepthDiameter_DepthQualifier","DepthDiameter_Diameter"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837","1900-01-01","42.67","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","1991-10-29","330.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843","1990-07-04","33.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131","1900-01-01","110.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","1991-11-25","270.00","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","1998-08-21","138.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001","1955-01-01","21.34","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001","1900-01-01","21.34","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585","1986-01-01","24.38","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","1988-01-01","140.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957","1900-01-01","82.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368","",,,""
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","2001-03-19","145.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770","1956-01-01","46.60","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603","1988-01-01","100.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631","1900-01-01","14.97","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402","1900-01-01","9999.99","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249","1990-07-03","15.10","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050","1900-01-01","228.75","Measured during Construction","451 mm (18.0")"
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465","",,,""
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444","1990-07-04","101.90","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","1992-03-24","96.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425","1900-01-01","33.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","1991-11-26","116.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2525DA00096","Borehole","-25.56063","25.72209","1992-03-16","91.00","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2525DB00087","Borehole","-25.56031","25.94270","",,,""
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","",,,""
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","1965-08-31","46.02","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","1956-11-01","39.01","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","1956-11-17","46.02","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","1966-07-29","52.73","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","1967-02-17","70.10","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","1910-10-12","32.00","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","1910-10-25","28.35","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","1966-06-27","31.09","Measured during Construction","152 mm (6.0")"
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","1910-09-30","20.73","Measured during Construction","203 mm (8.0")"
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","1992-03-20","41.00","Measured during Construction","152 mm (6.0")"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","2001-03-15","168.00","Measured during Construction","165 mm (6.5")"
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041","1990-07-03","10.73","Measured during Construction","165 mm (6.5")"
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","1998-06-19","150.00","Measured during Construction","250 mm (10.0")"
"Dept Water - Pretoria","2525DB00092","Borehole","-25.55781","25.94965","1900-01-01","40.47","Measured during Construction","165 mm (6.5")"
