"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","Lithology_DescriptorDesignation","Lithology_DescriptorName","Lithology_EventDate","Lithology_DepthToTop","Lithology_DepthToBottom","Lithology_LithologyName","Lithology_PrimaryColour","Lithology_ColourQualifier","Lithology_SecondaryColour","Lithology_CompositionQualifier","Lithology_FabricQualifier","Lithology_FabricAttribute","Lithology_MaterialType","Lithology_FormationType","Lithology_TextureQualifier","Lithology_HardnessQualifier","Lithology_ParticleShape","Lithology_Sorting","Lithology_BoulderPercentage","Lithology_CobblePercentage","Lithology_PebblePercentage","Lithology_GranulePercentage","Lithology_SandPercentage","Lithology_SiltPercentage","Lithology_ClayPercentage","Lithology_WeatheringDegree","Lithology_FracturingDegree"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Non-Earth Scientist: Driller",,"1991-10-29","0.00","9.00","Alluvium",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Non-Earth Scientist: Driller",,"1991-10-29","9.00","30.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Non-Earth Scientist: Driller",,"1991-10-29","30.00","42.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Non-Earth Scientist: Driller",,"1991-10-29","42.00","178.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Non-Earth Scientist: Driller",,"1991-10-29","178.00","330.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","0.00","2.00","Alluvium",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","2.00","13.00","Shale",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","13.00","20.00","Conglomerate",,,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","20.00","32.00","Diabase",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","32.00","37.00","Shale",,,,,"Baked",,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","37.00","66.00","Dolomite",,,,"Carbonaceous",,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","66.00","70.00","Shale",,,,"Carbonaceous",,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Non-Earth Scientist: Driller",,"1991-11-25","70.00","270.00","Dolomite",,,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Non-Earth Scientist: Driller",,"1998-08-21","0.00","5.00","Overburden","Brown",,,,,,"Unconsolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Non-Earth Scientist: Driller",,"1998-08-21","5.00","30.00","Chert","White",,,,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Non-Earth Scientist: Driller",,"1998-08-21","30.00","31.00","Dolomite","Blue",,,,,,"Consolidated","Sedimentary","Fine to medium",,,,,,,,,,,,
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Non-Earth Scientist: Driller",,"1998-08-21","31.00","138.00","Dolomite","Blue",,"Greyish",,,,"Consolidated","Sedimentary","Medium to coarse",,,,,,,,,,,,"Moderately"
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","Non-Earth Scientist: Driller",,"1988-01-01","0.00","30.00","SOIL",,,,,,,"Unconsolidated",,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","Non-Earth Scientist: Driller",,"1988-01-01","30.00","140.00","Dolerite",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","Non-Earth Scientist: Driller",,"2001-03-19","0.00","145.00","Lava",,,,,,,"Consolidated","Igneous",,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","0.00","2.00","Andesite","Red",,"Bluish",,,"Very","Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","2.00","23.00","Andesite","Red",,"Bluish",,,,"Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","23.00","24.00","Andesite","Red",,"Bluish",,,,"Consolidated","Igneous",,,,,,,,,,,,"Highly","Moderately"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","24.00","44.00","Andesite","Grey",,"Bluish",,,"Slightly","Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","44.00","48.00","Diabase","Grey",,"Bluish",,,"Very","Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","48.00","76.00","Diabase","Grey",,"Bluish",,,"Slightly","Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Non-Earth Scientist: Driller",,"1992-03-24","76.00","96.00","Andesite","Grey",,"Bluish",,,"Slightly","Consolidated","Igneous",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","Non-Earth Scientist: Driller",,"1991-11-26","0.00","2.00","Ferricrete","Brown",,,,,,"Consolidated","Sedimentary",,,,,,,,,,,,,
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","Non-Earth Scientist: Driller",,"1991-11-26","2.00","5.00","Dolomite","Brown",,"Greyish",,,,"Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","Non-Earth Scientist: Driller",,"1991-11-26","5.00","33.00","Dolomite","Grey",,,,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,,"Moderately"
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","Non-Earth Scientist: Driller",,"1991-11-26","33.00","95.00","Dolomite","Blue",,"Greyish",,,"Slightly","Consolidated","Sedimentary",,,,,,,,,,,,"Highly",
