"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","OtherNumber_OtherNumberType","OtherNumber_OtherNumber"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837","Department of Water Affairs and Forestry Number","MP7"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837","NGDB-Number","2526CA00494"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","G-Number","039905"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","Monitoring Feature ID","97094"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","NGDB-Number","2526CA00750"
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843","Department of Water Affairs and Forestry Number","MP8"
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843","NGDB-Number","2526CA00495"
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131","NGDB-Number","2525DB00031"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","G-Number","039906"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","Monitoring Feature ID","97095"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","NGDB-Number","2526CA00749"
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","W-Number","02921"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","G-Number","045806"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Hydrological Station Number","A3N0513"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","NGDB-Number","2525DB00367"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","W-Number","05185"
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","Water Level Measuring Point Number","045806"
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001","Department of Water Affairs and Forestry Number","DT9"
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001","NGDB-Number","2526CA00526"
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001","Department of Water Affairs and Forestry Number","DT9"
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001","NGDB-Number","2526CA00804"
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585","Department of Water Affairs and Forestry Number","DT10"
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585","NGDB-Number","2526CA00527"
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","Department of Water Affairs and Forestry Number","DT14"
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","NGDB-Number","2526CA00531"
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957","Borehole Number","KA3"
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957","NGDB-Number","2525DA00110"
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368","Monitoring Feature ID","184128"
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368","NGDB-Number","2525DB00377"
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","G-Number","047427"
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","Hydrological Station Number","D4N2520"
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","NGDB-Number","2525DB00380"
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770","Department of Water Affairs and Forestry Number","TF7"
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770","NGDB-Number","2525DB00162"
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603","NGDB-Number","2525DB00032"
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631","NGDB-Number","2525DB00026"
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402","Department of Water Affairs and Forestry Number","KN1"
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402","NGDB-Number","2526CA00498"
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249","Department of Water Affairs and Forestry Number","MP9"
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249","NGDB-Number","2526CA00496"
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050","Department of Water Affairs and Forestry Number","KS110"
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050","NGDB-Number","2526CA00395"
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465","NGDB-Number","2525DB00088"
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444","Department of Water Affairs and Forestry Number","DT15"
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444","NGDB-Number","2526CA00532"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","NGDB-Number","2525DA00100"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","Regional Borehole Number","B0974426"
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425","Borehole Number","KI5"
