#STATION;STNAME;SHORTNAME;MAPNAME;ZONE;EASTING;NORTHING;GRDATUM;LATITUDE;LONGITUDE;LLDATUM;POSACC;ELEV;ELEVDATUM;ELEVACC;LOCAL_MAP;TIMEZONE;QQUARTER;QUARTER;SECTION;TOWNSHIP;RANGE;MERIDIAN;ACTIVE;OWNER;COMMENCE;CEASE;STNTYPE;REGION;ORGCODE;BARCODE;Quaternary Drainage Region;Site survey / registration number;PROVINCE;WMA;Calibration Type (Structure / Flow rating method);Site description;Station Classification;Data collected;Flood Calculations;Water Quality Monitoring;Monitoring Frequency; Old WMA;Water Supply System;Department Number;District Municipality;Local Municipality;GROUNDWATER Consumer;Weather Bureau Station;WMS Identifier
A1N0001;Tweefontein;BOMOLOPO;;0;0;0;Unknown;-25.54972222;25.9275;Cape Datum;Unknown;1420;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;21/01/1977;27/09/2011;Groundwater;GW - North West;Dept Water - North West;2525DB00005;A10A;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Quarterly Monitoring;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A1N0002;Tweefontein;BOMOLOPO;;0;0;0;Unknown;-25.55027778;25.91527778;Cape Datum;Unknown;1420;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;21/01/1977;27/09/2011;Groundwater;GW - North West;Dept Water - North West;2525DB00004;A31C;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Quarterly Monitoring;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A1N0003;Stinkhoutboom;BOMOLOPO;;0;0;0;Unknown;-25.52058328;25.91963408;World Geodetic Sys84 (Hartbeeshoek);Unknown;1440;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;18/02/1977;30/06/2000;Groundwater;GW - North West;Dept Water - North West;2525DB00006;A10A;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;U;Unknown;Unknown;Not Applicable;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A3H012;Klaarstroom-Eye @ Klaarstroom;Klaarstroom-Eye @ Kl;2525DB;0;0;0;Unknown;-25.55222222;25.99716667;World Geodetic Sys84 (Hartbeeshoek);Unknown;0;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;24/06/1960;31/05/1978;Spring / Eye / Fountain;Gauteng;Dept Water and Sanitation;;A31D;;North West;Limpopo;Flow Calibration not applicable / no DT;Eye with no control;Not specified;U;Unknown;Yes;Not Applicable;Crocodile (West) and Marico;(None);Unknown;Unknown;Unknown;Unknown;Unknown;Unknown
A3N0015;Doornfontein;BOMOLOPO;;0;0;0;Unknown;-25.61416667;25.92555556;Cape Datum;Unknown;1410;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;21/01/1977;15/01/2005;Groundwater;GW - North West;Dept Water - North West;2525DB00002;A31C;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Quarterly Monitoring;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A3N0513;Moilos Suid;DINOKANA;;0;0;0;World Geodetic Sys84 (Hartbeeshoek);-25.56447;25.86831;World Geodetic Sys84 (Hartbeeshoek);Unknown;1430;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;21/08/1998;03/03/2011;Groundwater;GW - North West;Dept Water - North West;45806;A31C;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Not Applicable;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A3N0514;Stinkhoutboom;DINOKANA;;0;0;0;World Geodetic Sys84 (Hartbeeshoek);-25.52478;25.91956;World Geodetic Sys84 (Hartbeeshoek);Unknown;1465;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;04/06/1998;15/01/2004;Groundwater;GW - North West;Dept Water - North West;45366;A10A;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Not Applicable;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A3N0516;Stinkhoutboom;BOMOLOPO;;0;0;0;Unknown;-25.53611111;25.90222222;Cape Datum;Unknown;1308;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;15/06/2000;30/01/2017;Groundwater;GW - North West;Dept Water - North West;45368;A31C;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Quarterly Monitoring;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A3N0519;Stinkhoutboom;;2525DB;0;0;0;World Geodetic Sys84 (Hartbeeshoek);-25.55783;25.89306;World Geodetic Sys84 (Hartbeeshoek);GPS\044 10m;1424;Unknown;Unknown;;10;;;0;;;Unspecified;F;0;25/11/2010;25/11/2010;Groundwater;GW - North West;Dept Water - North West;45804;A31C;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Not Applicable;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
A3N0521;Tweefontein;BOMOLOPO;;0;0;0;Unknown;-25.5591;25.8934;World Geodetic Sys84 (Hartbeeshoek);Unknown;1420;Unknown;Unknown;;0;;;0;;;Unspecified;F;0;28/08/1998;12/11/2015;Groundwater;GW - North West;Dept Water - North West;45807;A31C;;North West;Limpopo;Flow Calibration not applicable / no DT;Ground Water Level Monitoring;Not specified;L;Unknown;Unknown;Quarterly Monitoring;Crocodile (West) and Marico;(None);Unknown;Ngaka Modiri Molema;Ramotshere Moiloa;Unknown;Unknown;Unknown
