STATION,DATE,TIME,WATER_LEVEL,QUALITY,DATATRANS,COMMENT,
A3N0513 ,19980904,12:00,-12.1,26,7,                                                                                                    ,
A3N0513 ,19991215,12:00,-14.82,26,7,                                                                                                    ,
A3N0513 ,20000215,12:00,-10.06,26,7,                                                                                                    ,
A3N0513 ,20000315,12:00,-10.06,26,7,                                                                                                    ,
A3N0513 ,20000316,12:00,-8.79,26,7,                                                                                                    ,
A3N0513 ,20000502,12:00,-7.5,26,7,                                                                                                    ,
A3N0513 ,20000615,12:00,-7.6,26,7,                                                                                                    ,
A3N0513 ,20000815,12:00,-7.9,26,7,                                                                                                    ,
A3N0513 ,20010615,12:00,-7.2,26,7,                                                                                                    ,
A3N0513 ,20040715,12:00,-13.17,26,7,                                                                                                    ,
A3N0513 ,20050715,12:00,-12.9,26,7,                                                                                                    ,
A3N0513 ,20050829,12:00,-13.18,26,7,                                                                                                    ,
A3N0513 ,20100609,10:15,-13.18,93,7,                                                                                                    ,
A3N0513 ,20101125,15:25,-14.21,26,7,03/03/2011- dry,collapsed at about 4m.                                                              
