STATION,DATE,TIME,WATER_LEVEL,QUALITY,DATATRANS,COMMENT
D4N2517 ,20110608,08:00,-17.75,26,7,                                                                                                    
D4N2517 ,20111130,18:42,-19.79,26,7,                                                                                                    
D4N2517 ,20120301,09:39,-22.66,26,7,                                                                                                    
D4N2517 ,20120419,09:00,-19.67,26,7,                                                                                                    
D4N2517 ,20120622,10:45,-20,26,7,                                                                                                    
D4N2517 ,20120718,10:45,-20.03,26,7,06/09/2012 No entry                                                                                 
D4N2517 ,20121030,08:00,-20.23,26,7,                                                                                                    
D4N2517 ,20121128,09:50,-20.25,26,7,                                                                                                    
D4N2517 ,20121205,12:43,-21.93,26,7,                                                                                                    
D4N2517 ,20130626,13:44,-23.77,26,7,                                                                                                    
D4N2517 ,20131003,12:55,-23.7,26,7,                                                                                                    
D4N2517 ,20140625,16:16,-33.53,26,7,                                                                                                    
D4N2517 ,20141002,10:47,-23.1,26,7,                                                                                                    
D4N2517 ,20141126,15:35,-23.17,26,7,                                                                                                    
D4N2517 ,20150304,12:09,-22.28,26,7,                                                                                                    
D4N2517 ,20150508,10:53,-22.3,26,7,                                                                                                    
D4N2517 ,20150624,14:30,-24.05,26,7,                                                                                                    
D4N2517 ,20150827,12:42,-24.53,26,7,                                                                                                    
D4N2517 ,20151112,12:50,-25.13,26,7,                                                                                                    
D4N2517 ,20161130,15:38,-27.95,26,7,                                                                                                    
D4N2517 ,20161220,15:25,-27.95,26,7,                                                                                                    
D4N2517 ,20170126,14:18,-27.95,26,7,                                                                                                    
D4N2517 ,20170314,12:43,-26.76,26,7,                                                                                                    
D4N2517 ,20170421,12:44,-25.29,26,7,                                                                                                    
D4N2517 ,20170607,10:09,-24.33,26,7,                                                                                                    
D4N2517 ,20170905,11:22,-23.2,26,7,                                                                                                    
D4N2517 ,20171114,11:39,-22.81,26,7,                                                                                                    
D4N2517 ,20171214,10:07,-22.67,26,7,                                                                                                    
D4N2517 ,20180222,12:14,-22.74,26,7,                                                                                                    
D4N2517 ,20180531,11:43,-23,26,7,                                                                                                    
D4N2517 ,20180814,11:28,-23.11,26,7,                                                                                                    
D4N2517 ,20181101,11:07,-23.15,26,7,                                                                                                    
D4N2517 ,20190215,12:45,-23.15,26,7,                                                                                                    
D4N2517 ,20190402,11:05,-23.8,26,7,                                                                                                    
