bh_id,country,swl_m,swl_date,comment_water_level,data_owner,contact_person,email,file_name,latitude,longitude
A3N0513,South Africa,12.1,1998-09-04,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,14.82,1999-12-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,10.06,2000-02-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,10.06,2000-03-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,8.79,2000-03-16,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,7.5,2000-05-02,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,7.6,2000-06-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,7.9,2000-08-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,7.2,2001-06-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,13.17,2004-07-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,12.9,2005-07-15,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,13.18,2005-08-29,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,13.18,2010-06-09,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0513,South Africa,14.21,2010-11-25,03/03/2011- dry,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0513_WaterLevels.csv,-25.56447,25.86831
A3N0521,South Africa,22.74,1998-09-10,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,18.06,2000-03-16,25/11/2010 Bees                                                                                     ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,11.94,2011-03-04,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,11.56,2011-06-21,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,11.41,2011-09-28,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,16.0,2012-02-28,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,17.84,2012-06-07,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
A3N0521,South Africa,19.51,2012-09-12,                                                                                                    ,Department of Water and Sanitation South Africa,"Ramusiya, Fhedzisani",RamusiyaF@dws.gov.za,A3N0521_WaterLevels.csv,-25.5591,25.8934
