FID,bh_id_sadc,bh_id,bh_type,country,longitude,latitude,geod_datum,elev_m_dem,elevation,bh_depth,compl_date,swl_m,swl_date,yield_l_s,yieldtype,ec_ms_m,tds_mg_l,f_mg_l,no3_mg_l,lith,reliabilit,bh_status,hgm_litho,hgm_aqtype,hgm_produc,dataowner,contact_person,email,file_name,province,wgs84
gip_BHdata_botswana.fid-1ee0d787_16779633175_40ef,547354,Z6057,unknown,Botswana,25.71417,-25.10917,WGS84,1134,-9999,60.0,1988-11-26,-9999.0,1989-04-05,0.3,blow,64.4,348.0,0.1,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_40f0,544456,BH5975,unknown,Botswana,25.55,-25.35,WGS84,1290,-9999,100.0,1988-06-29,57.0,2004-03-11,1.0,blow,421.4,3084.0,0.6,-9999.0,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_4107,543469,BH4336,unknown,Botswana,25.87111,-24.8825,WGS84,1039,1031,102.0,1983-07-11,45.0,2008-03-31,30.0,blow,1184.0,745.0,0.2,0.4,unknown,unknown,unknown,Dolomite and limestone,Karst,"Karst aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_416b,545026,BH690,unknown,Botswana,25.72778,-24.92611,WGS84,1070,-9999,61.3,1956-09-07,39.1,1983-08-23,-9999.0,blow,133.0,864.0,0.6,0.4,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_41a7,541850,BH1188,unknown,Botswana,25.74722,-25.02889,WGS84,1104,-9999,61.0,1960-05-18,36.6,2008-03-26,11.4,blow,-9999.0,-9999.0,0.1,19.8,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_41bb,542101,BH169,unknown,Botswana,25.6825,-25.22694,WGS84,1187,-9999,73.8,1940-09-04,67.1,1990-01-01,2.8,blow,99.2,428.0,2.0,72.2,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_41c4,543547,BH4451,unknown,Botswana,25.70778,-25.06056,WGS84,1126,-9999,150.0,1983-09-16,66.0,1989-03-10,2.0,blow,51.4,280.0,0.2,6.1,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_41d7,547108,Z4627,unknown,Botswana,25.61417,-25.22444,WGS84,1291,-9999,150.0,1984-01-17,147.0,1984-01-12,3.0,blow,52.4,308.0,0.1,7.0,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_41db,542503,BH2388,unknown,Botswana,25.67167,-25.19167,WGS84,1253,-9999,47.9,1971-05-07,35.7,1990-01-01,2.8,blow,51.0,48.0,1.0,-9999.0,unknown,unknown,unknown,"Volcanic rocks, extrusive",Low potential,Generally low potential,SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
gip_BHdata_botswana.fid-1ee0d787_16779633175_41fe,542808,BH3015,unknown,Botswana,25.58583,-24.77417,WGS84,1137,-9999,85.3,1975-06-05,27.4,1999-03-30,5.7,blow,25.0,161.0,0.1,0.8,unknown,unknown,unknown,"Paragneiss, quartzite, schiste, phyllite, amphibolite",Fissured,"Fissured aquifers, moderate potential",SADC-GIP,Brighton Munyai,Brighton@sadc-gmi.org,ramotsw_TBA_Botswana_boreholes.dbf,-9999,-9999
