"GeositeInfo_DataOwner","GeositeInfo_Identifier","GeositeInfo_GeositeType","GeositeInfo_Latitude","GeositeInfo_Longitude","WaterStrike_ConstructionCompletionDate","WaterStrike_YieldMeasurementMethod","WaterStrike_WaterStrikeType","WaterStrike_SeepageValue","WaterStrike_DepthToTop","WaterStrike_DepthToBottom","WaterStrike_TotalBlowYieldValue","WaterStrike_ContributionValue"
"Dept Water - Pretoria","2526CA00494","Borehole","-25.56581","26.03837","",,"",,,,,
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","1991-10-29",,"Individual Contribution",,"65.00",,"1.8000","0.5"
"Dept Water - Pretoria","039905","Borehole","-25.56532","26.02356","1991-10-29",,"Individual Contribution",,"213.00",,"1.8000","1.3"
"Dept Water - Pretoria","2526CA00495","Borehole","-25.56523","26.03843","",,"",,,,,
"Dept Water - Pretoria","2525DB00031","Borehole","-25.56503","25.99131","",,"",,,,,
"Dept Water - Pretoria","039906","Borehole","-25.56449","26.02662","1991-11-25",,"Total Yield",,"77.00",,"4.0000",
"Dept Water - North West","045806","Borehole","-25.56448","25.86834","",,"",,,,,
"Dept Water - Pretoria","2526CA00526","Borehole","-25.56409","26.03001","",,"",,,,,
"Dept Water - Pretoria","2526CA00804","Borehole","-25.56409","26.03001","","Float Principle (Thalimedes)","Total Yield",,"21.34",,"0.6500",
"Dept Water - Pretoria","2526CA00527","Borehole","-25.56348","26.02585","",,"",,,,,
"Dept Water - Pretoria","2526CA00531","Borehole","-25.56317","26.01616","",,"",,,,,
"Dept Water - Pretoria","2525DA00110","Borehole","-25.56273","25.70957","",,"",,,,,
"Dept Water - Pretoria","2525DB00377","Borehole","-25.56256","25.77368","",,"",,,,,
"Dept Water - North West","2525DB00380","Borehole","-25.56253","25.77354","",,"",,,,,
"Dept Water - Pretoria","2525DB00162","Borehole","-25.56253","25.88770","",,"",,,,,
"Dept Water - Pretoria","2525DB00032","Borehole","-25.56253","25.99603","",,"",,,,,
"Dept Water - Pretoria","2525DB00026","Borehole","-25.56253","25.99631","",,"",,,,,
"Dept Water - Pretoria","2526CA00498","Borehole","-25.56198","26.06402","",,"",,,,,
"Dept Water - Pretoria","2526CA00496","Borehole","-25.56189","26.04249","",,"",,,,,
"Dept Water - Pretoria","2526CA00395","Borehole","-25.56171","26.00050","",,"",,,,,
"Dept Water - Pretoria","2525DB00088","Borehole","-25.56170","25.92465","",,"",,,,,
"Dept Water - Pretoria","2526CA00532","Borehole","-25.56170","26.02444","",,"",,,,,
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","1992-03-24",,"Individual Contribution",,"45.00",,"0.2001","0.2"
"Dept Water - Pretoria","2525DA00100","Borehole","-25.56144","25.72230","1992-03-24",,"Individual Contribution","0.0001","24.00",,"0.2001",
"Dept Water - Pretoria","2525DA00121","Borehole","-25.56140","25.73425","",,"",,,,,
"Dept Water - Pretoria","2525DB00382","Borehole","-25.56099","25.82429","1991-11-26","Float Principle (Thalimedes)","Total Yield",,"96.00",,"0.6300",
"Dept Water - Pretoria","2525DA00096","Borehole","-25.56063","25.72209","1992-03-16",,"Total Yield",,"20.00",,"0.1000",
"Dept Water - Pretoria","2525DB00087","Borehole","-25.56031","25.94270","",,"",,,,,
"Dept Water - North West","045807","Borehole","-25.55912","25.89342","1998-08-28",,"Total Yield",,"45.00",,"0.6700",
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","1965-08-31",,"Individual Contribution",,"46.02",,"1.2001","1.2"
"Dept Water - Pretoria","2526CA00111","Borehole","-25.55896","26.06636","1965-08-31",,"Individual Contribution","0.0001","18.29",,"1.2001",
"Dept Water - Pretoria","2526CA00109","Borehole","-25.55895","26.06635","1956-11-01",,"Total Seepage","0.0400","31.70",,,
"Dept Water - Pretoria","2526CA00110","Borehole","-25.55895","26.06636","1956-11-17",,"Total Yield",,"29.87",,"1.3600",
"Dept Water - Pretoria","2526CA00018","Borehole","-25.55894","26.02467","1966-07-29",,"Total Yield",,"17.68",,"2.5600",
"Dept Water - Pretoria","2526CA00019","Borehole","-25.55894","26.02468","1967-02-17",,"Total Seepage","0.0001","70.10",,,
"Dept Water - Pretoria","2526CA00107","Borehole","-25.55894","26.06634","1910-10-12",,"Total Yield",,"15.84",,"6.3100",
"Dept Water - Pretoria","2526CA00108","Borehole","-25.55894","26.06635","1910-10-25",,"Total Yield",,"18.29",,"6.3100",
"Dept Water - Pretoria","2526CA00017","Borehole","-25.55893","26.02467","1966-06-27",,"Total Yield",,"20.42",,"0.6400",
"Dept Water - Pretoria","2526CA00106","Borehole","-25.55893","26.06634","1910-09-30",,"Total Yield",,"10.67",,"5.0500",
"Dept Water - Pretoria","2525DA00099","Borehole","-25.55864","25.70497","1992-03-20",,"Total Seepage","0.0001","41.00",,,
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","2001-03-15",,"Individual Contribution",,"45.00",,"2.3000","1.0"
"Dept Water - North West","2525DB00376","Borehole","-25.55856","25.76156","2001-03-15",,"Individual Contribution",,"83.00","85.00","2.3000","1.3"
"Dept Water - Pretoria","2526CA00497","Borehole","-25.55807","26.04041","",,"",,,,,
"Dept Water - North West","045804","Borehole","-25.55781","25.89303","",,"",,,,,
"Dept Water - Pretoria","2525DB00092","Borehole","-25.55781","25.94965","",,"",,,,,
"Dept Water - Pretoria","2525DA00105","Borehole","-25.55778","25.67054","",,"",,,,,
"Dept Water - Pretoria","2525DA00101","Borehole","-25.55774","25.70506","1992-03-24",,"Total Seepage","0.0001","91.00",,,
"Dept Water - Pretoria","2525DA00111","Borehole","-25.55726","25.72490","",,"",,,,,
"Dept Water - Pretoria","2526CA00505","Borehole","-25.55506","26.06178","",,"",,,,,
