station,date,time,water_level,quality,datatrans,comment,unnamed: 7
A3N0513 ,19980904,12:00,-12.1,26,7,                                                                                                    ,
A3N0513 ,19991215,12:00,-14.82,26,7,                                                                                                    ,
A3N0513 ,20000215,12:00,-10.06,26,7,                                                                                                    ,
A3N0513 ,20000315,12:00,-10.06,26,7,                                                                                                    ,
A3N0513 ,20000316,12:00,-8.79,26,7,                                                                                                    ,
A3N0513 ,20000502,12:00,-7.5,26,7,                                                                                                    ,
A3N0513 ,20000615,12:00,-7.6,26,7,                                                                                                    ,
A3N0513 ,20000815,12:00,-7.9,26,7,                                                                                                    ,
A3N0513 ,20010615,12:00,-7.2,26,7,                                                                                                    ,
A3N0513 ,20040715,12:00,-13.17,26,7,                                                                                                    ,
A3N0513 ,20050715,12:00,-12.9,26,7,                                                                                                    ,
A3N0513 ,20050829,12:00,-13.18,26,7,                                                                                                    ,
A3N0513 ,20100609,10:15,-13.18,93,7,                                                                                                    ,
A3N0513 ,20101125,15:25,-14.21,26,7,03/03/2011- dry,collapsed at about 4m.                                                              
A3N0521 ,19980910,12:00,-22.74,26,7,                                                                                                    ,
A3N0521 ,20000316,12:00,-18.06,26,7,25/11/2010 Bees                                                                                     ,
A3N0521 ,20110304,15:00,-11.94,26,7,                                                                                                    ,
A3N0521 ,20110621,15:50,-11.56,26,7,                                                                                                    ,
A3N0521 ,20110928,14:33,-11.41,26,7,                                                                                                    ,
A3N0521 ,20120228,14:42,-16.0,26,7,                                                                                                    ,
A3N0521 ,20120607,13:08,-17.84,26,7,                                                                                                    ,
A3N0521 ,20120912,13:42,-19.51,26,7,                                                                                                    ,
A3N0521 ,20121205,13:44,-20.86,26,7,                                                                                                    ,
A3N0521 ,20130626,15:22,-22.67,26,7,26/06/2014 Bees                                                                                     ,
A3N0521 ,20150827,15:37,-24.99,26,7,                                                                                                    ,
A3N0521 ,20151112,14:27,-25.14,26,7,                                                                                                    ,
D4N2517 ,20110608,08:00,-17.75,26,7,                                                                                                    ,
D4N2517 ,20111130,18:42,-19.79,26,7,                                                                                                    ,
D4N2517 ,20120301,09:39,-22.66,26,7,                                                                                                    ,
D4N2517 ,20120419,09:00,-19.67,26,7,                                                                                                    ,
D4N2517 ,20120622,10:45,-20.0,26,7,                                                                                                    ,
D4N2517 ,20120718,10:45,-20.03,26,7,06/09/2012 No entry                                                                                 ,
D4N2517 ,20121030,08:00,-20.23,26,7,                                                                                                    ,
D4N2517 ,20121128,09:50,-20.25,26,7,                                                                                                    ,
D4N2517 ,20121205,12:43,-21.93,26,7,                                                                                                    ,
D4N2517 ,20130626,13:44,-23.77,26,7,                                                                                                    ,
D4N2517 ,20131003,12:55,-23.7,26,7,                                                                                                    ,
D4N2517 ,20140625,16:16,-33.53,26,7,                                                                                                    ,
D4N2517 ,20141002,10:47,-23.1,26,7,                                                                                                    ,
D4N2517 ,20141126,15:35,-23.17,26,7,                                                                                                    ,
